business_name,phone,address,rating,reviews,website
"San Antonio Rooter Service","(512) 487-5582","4402 Main St, San Antonio, TX 78651",4.8,127,"https://sanantoniorooterservice.com"
"San Antonio Drain Masters","(210) 436-3714","7807 Oak Ave, San Antonio, TX 78411",4.7,89,"https://sanantoniodrainmasters.com"
"Capital City Plumbing","(713) 343-3265","538 Elm St, San Antonio, TX 78196",4.5,203,"https://capitalcityplumbing.com"
"San Antonio Pipe Pros","(972) 277-5869","3870 Broadway, San Antonio, TX 78529",4.3,56,"https://sanantoniopipepros.com"
"San Antonio Sewer & Drain","(817) 654-3455","6329 Cedar Ln, San Antonio, TX 78133",4.9,312,"https://sanantoniosewerdrain.com"
"Apex Plumbing San Antonio","(469) 689-8130","8040 1st St, San Antonio, TX 78601",4.6,45,"https://apexplumbingsanantonio.com"
"San Antonio Repipe Specialists","(214) 659-4689","1800 Park Rd, San Antonio, TX 78755",4.4,98,"https://sanantoniorepipespecialists.com"
"San Antonio Service Plumbing","(936) 464-3865","7165 Lake Dr, San Antonio, TX 78505",4.2,167,"https://sanantonioserviceplumbing.com"
"San Antonio Mechanical","(979) 258-6974","4282 River Rd, San Antonio, TX 78238",4.1,34,"https://sanantoniomechanical.com"
"San Antonio Emergency Plumbers","(830) 368-6352","8462 Maple Ave, San Antonio, TX 78434",5.0,78,"https://sanantonioemergencyplumbers.com"
"Bluebonnet Plumbing San Antonio","(512) 804-4727","8849 Main St, San Antonio, TX 78782",3.9,142,"https://bluebonnetplumbingsanantonio.com"
"Lone Star Pipe San Antonio","(210) 703-3455","2987 Oak Ave, San Antonio, TX 78578",4.0,215,"https://lonestarpipesanantonio.com"
"San Antonio Water Works","(713) 746-4610","4235 Elm St, San Antonio, TX 78216",4.7,61,"https://sanantoniowaterworks.com"
"San Antonio Drain Solutions","(972) 576-5150","1407 Broadway, San Antonio, TX 78804",4.5,93,"https://sanantoniodrainsolutions.com"
"Precision Plumbing San Antonio","(817) 557-1742","5152 Cedar Ln, San Antonio, TX 78884",4.3,127,"https://precisionplumbingsanantonio.com"
"San Antonio Flow Masters","(469) 580-1947","7162 1st St, San Antonio, TX 78834",4.8,89,"https://sanantonioflowmasters.com"
"Red River Plumbing","(214) 777-2742","6572 Park Rd, San Antonio, TX 78302",4.7,203,"https://redriverplumbing.com"
"Hill Country Drains","(936) 873-2891","1740 Lake Dr, San Antonio, TX 78759",4.5,56,"https://hillcountrydrains.com"
"Pecan Springs Plumb","(979) 580-4026","6966 River Rd, San Antonio, TX 78400",4.3,312,"https://pecanspringsplumb.com"
"San Antonio Hydro-Flow","(830) 462-3691","4475 Maple Ave, San Antonio, TX 78397",4.9,45,"https://sanantoniohydroflow.com"
"San Antonio Leak Detection","(512) 405-2608","4543 Main St, San Antonio, TX 78355",4.6,98,"https://sanantonioleakdetection.com"
"San Antonio Gas & Pipe","(210) 301-6389","7370 Oak Ave, San Antonio, TX 78690",4.4,167,"https://sanantoniogaspipe.com"
"Southwest Plumbing","(713) 363-3117","5899 Elm St, San Antonio, TX 78602",4.2,34,"https://southwestplumbing.com"
"San Antonio Commercial Plumbing","(972) 299-7819","8792 Broadway, San Antonio, TX 78628",4.1,78,"https://sanantoniocommercialplumbing.com"
"San Antonio Residential Rooter","(817) 648-7204","1602 Cedar Ln, San Antonio, TX 78628",5.0,142,"https://sanantonioresidentialrooter.com"
